編號,單位,行政區,地址,備註
377,豪成機車行,萬華區,臺北市萬華區和平西路2段190巷5號,檢驗站
378,昆明清潔分隊,萬華區,"臺北市萬華區和平西路3段251號1,2樓",清潔隊
379,周威佑議員服務處,萬華區,臺北市萬華區和平西路3段70-3號,議員服務處
380,鑫東園車業有限公司,萬華區,臺北市萬華區東園街105號,檢驗站
381,東龍旺車業有限公司,萬華區,臺北市萬華區東園街133號,檢驗站
382,大理清潔分隊,萬華區,臺北市萬華區長順街臨131號,清潔隊
383,俊展車業,萬華區,臺北市萬華區青年路114號,車行
384,正勝車業行,萬華區,臺北市萬華區青年路152巷35號,車行
385,青年公園棒球場地下停車場,萬華區,臺北市萬華區青年路69號,公有停車場
386,永振億實業有限公司,萬華區,臺北市萬華區南寧路62、64號,檢驗站
387,峨嵋立體停車場,萬華區,臺北市萬華區峨眉街83號,公有停車場
388,健立車業有限公司,萬華區,臺北市萬華區桂林路206號,檢驗站
389,金里車行,萬華區,臺北市萬華區桂林路244巷57號,檢驗站
390,葉山車行,萬華區,臺北市萬華區桂林路30號,檢驗站
391,青年公園高爾夫球場地下停車場,萬華區,臺北市萬華區國興路5號,公有停車場
392,勝昌機車行,萬華區,臺北市萬華區康定路108號,車行
393,得山車業有限公司,萬華區,臺北市萬華區康定路114號,檢驗站
394,大旺車行,萬華區,臺北市萬華區萬大路214號,檢驗站
395,友順機車行,萬華區,臺北市萬華區萬大路423巷26號,檢驗站
396,尚億車業有限公司,萬華區,臺北市萬華區萬大路500號,檢驗站
397,億林機車行,萬華區,臺北市萬華區艋舺大道416號,檢驗站
398,中華汽車雙園服務廠,萬華區,臺北市萬華區興寧街26號,中華汽車服務廠
399,洛陽停車場,萬華區,臺北市萬華區環河南路1段1號,公有停車場
400,聯耀機車行,萬華區,臺北市萬華區環河南路1段21號,檢驗站
401,漢中清潔分隊,萬華區,臺北市萬華區環河南路1段臨280之1號,清潔隊
402,車強機車行,萬華區,臺北市萬華區環河南路2段105號,檢驗站
403,祥和機車行,萬華區,臺北市萬華區環河南路2段117號,檢驗站
404,萬華國生車業,萬華區,臺北市萬華區環河南路2段154巷2號,車行
405,華中機車行,萬華區,臺北市萬華區雙和街75號,車行
406,永盛機車行,萬華區,臺北市萬華區環河南路2段300號1樓,檢驗站
